sigma,x0,y0,theta,closure_err,t_est
0.2,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.2,0.8,0.8,0.0,3.284915129166323e-05,39.99878092742331
0.2,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.2,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.275,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.275,0.8,0.8,0.0,3.284915129166323e-05,39.99878092742331
0.275,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.275,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.35000000000000003,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.35000000000000003,0.8,0.8,0.0,3.284915129157535e-05,39.99878092742332
0.35000000000000003,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.35000000000000003,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.42500000000000004,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.42500000000000004,0.8,0.8,0.0,3.284915129157535e-05,39.99878092742332
0.42500000000000004,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.42500000000000004,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.5,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.5,0.8,0.8,0.0,3.284915129157535e-05,39.99878092742332
0.5,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.5,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.5750000000000001,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.5750000000000001,0.8,0.8,0.0,3.284915129157535e-05,39.99878092742332
0.5750000000000001,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.5750000000000001,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.6500000000000001,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.6500000000000001,0.8,0.8,0.0,3.284915129157535e-05,39.99878092742332
0.6500000000000001,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.6500000000000001,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.7250000000000001,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.7250000000000001,0.8,0.8,0.0,3.284915129166323e-05,39.99878092742331
0.7250000000000001,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.7250000000000001,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
0.8,0.2,0.2,0.0,1.3519551674748662e-12,10.000000000002148
0.8,0.8,0.8,0.0,3.284915129166323e-05,39.99878092742331
0.8,0.5,0.5,0.0,4.440892098500626e-16,25.0
0.8,0.3,0.6,0.0,1.6581225474913898e-13,30.000000000007454
